product_id,product_name,price,category_id,cogs
1,Nova Bluetooth Speaker,23238.1,1,18765.99
2,Urbano Power Bank 10000mAh,1589.44,1,1283.16
3,Nova Smartwatch,18337.9,1,14406.4
4,Zentra Wireless Earbuds,16544.81,1,13755.31
5,Kraft Wireless Earbuds,13262.69,1,9447.12
6,"Orbit LED TV 43""",18918.34,1,14027.07
7,TrueLine Power Bank 10000mAh,24879.46,1,18098.75
8,Orbit Bluetooth Headphones,11369.43,1,6671.21
9,Vivid Smartwatch,672.7,1,466.77
10,"AXOM LED TV 43""",1914.18,1,1379.91
11,"Nova LED TV 43""",22649.69,1,18139.51
12,Orbit Smartwatch,6064.42,1,4452.15
13,"Orbit LED TV 43""",3437.95,1,2844.66
14,Urbano Bluetooth Headphones,19647.79,1,15376.83
15,"Nova LED TV 43""",2558.73,1,1665.4
16,TrueLine Digital Camera,11755.56,1,8877.52
17,AXOM Smartwatch,10155.14,1,6283.55
18,Urbano Smartwatch,4911.01,1,3377.3
19,TrueLine Wireless Earbuds,4709.68,1,3117.43
20,Nimbus Smartwatch,20229.35,1,16175.15
21,AXOM Smartwatch,16355.8,1,11272.51
22,Nova Bluetooth Speaker,23170.22,1,18467.67
23,TrueLine Wireless Earbuds,12218.18,1,7023.15
24,AXOM Digital Camera,4241.23,1,2123.81
25,Kraft Digital Camera,23173.97,1,17955.08
26,TrueLine Power Bank 10000mAh,17460.3,1,13194.34
27,Zentra Bluetooth Headphones,4868.96,1,2805.47
28,Craze Bluetooth Speaker,18433.07,1,9609.81
29,AXOM Home Theater System,1396.04,1,930.99
30,AXOM Wireless Earbuds,24025.36,1,12686.33
31,Nova Wireless Earbuds,14936.62,1,10998.2
32,"TrueLine LED TV 43""",3129.18,1,2539.64
33,"Craze LED TV 43""",14923.8,1,10697.13
34,Craze Digital Camera,14195.89,1,8669.85
35,Urbano Power Bank 10000mAh,16792.69,1,10242.94
36,TrueLine Power Bank 10000mAh,3402.33,1,2469.84
37,Vivid Bluetooth Headphones,23236.11,1,19228.04
38,Nimbus Bluetooth Speaker,15585.81,1,10864.05
39,Nova Smartwatch,13510.21,1,9147.22
40,Vivid Wireless Earbuds,22039.47,1,17802.26
41,Kraft Mobile Tripod,4070.01,2,3222.68
42,Craze USB-C Cable,24598.75,2,19248.15
43,Orbit Smartphone 128GB,7589.56,2,5556.97
44,Kraft Screen Protector,3018.4,2,1622.28
45,Kraft Screen Protector,7151.64,2,4103.04
46,Urbano Mobile Tripod,17234.3,2,13761.92
47,Kraft Phone Holder,22647.61,2,18030.58
48,TrueLine Phone Case,20759.3,2,10699.97
49,Zentra Mobile Tripod,15982.27,2,9456.46
50,Orbit Phone Holder,17685.84,2,12314.96
51,Nova Phone Case,23634.52,2,17533.43
52,Orbit Screen Protector,1045.3,2,657.73
53,TrueLine Screen Protector,3317.02,2,2016.38
54,Vivid Smartphone 128GB,5370.4,2,3154.23
55,Vivid Phone Case,19535.89,2,15813.27
56,Craze Selfie Stick,18774.52,2,15470.53
57,Zentra Fast Charger 20W,24408.72,2,19130.82
58,AXOM Selfie Stick,4607.11,2,3794.28
59,Urbano Selfie Stick,6780.12,2,5258.53
60,TrueLine Phone Case,21823.34,2,17469.75
61,Urbano Fast Charger 20W,20442.18,2,13514.45
62,Urbano USB-C Cable,5689.65,2,4159.2
63,Vivid Selfie Stick,7073.29,2,3708.51
64,Vivid USB-C Cable,16090.82,2,10296.31
65,AXOM Mobile Tripod,3016.24,2,2532.56
66,Craze Screen Protector,24068.98,2,14270.82
67,Craze Phone Case,10948.91,2,8266.33
68,TrueLine Mobile Tripod,15214.29,2,10330.47
69,Craze Selfie Stick,4873.46,2,2512.44
70,AXOM Selfie Stick,13070.02,2,10224.4
71,Vivid Fast Charger 20W,10867.74,2,9043.11
72,Craze Mobile Tripod,7950.8,2,6335.24
73,Orbit USB-C Cable,7835.72,2,5037.88
74,Kraft Selfie Stick,13927.15,2,7898.7
75,Zentra Selfie Stick,15445.55,2,9349.69
76,Kraft Smartphone 128GB,7279.81,2,4735.23
77,Nimbus Mobile Tripod,11128.38,2,8195.71
78,Zentra Phone Holder,16522.44,2,9902.32
79,Nova Mobile Tripod,20487.82,2,15630.12
80,Urbano USB-C Cable,20193.09,2,11137.98
81,"Urbano Laptop 15.6"" i5",24600.81,3,17563.65
82,Nimbus Wireless Mouse,10448.86,3,7527.55
83,"TrueLine 27"" Monitor",12435.27,3,7279.54
84,"Nova Laptop 15.6"" i5",19493.75,3,11239.99
85,AXOM Webcam HD,14001.53,3,11496.86
86,Nimbus Wireless Mouse,3463.48,3,2294.99
87,Nimbus Laptop Bag,15374.41,3,11557.65
88,Orbit USB Hub,11230.95,3,6241.1
89,Nimbus Webcam HD,6590.91,3,3865.79
90,Orbit External Hard Disk 1TB,12192.24,3,7117.05
91,Nova Webcam HD,17881.59,3,10408.39
92,Vivid Laptop Bag,22341.72,3,11800.95
93,Urbano Mechanical Keyboard,9668.43,3,5351.3
94,"Nova 27"" Monitor",10459.47,3,6441.03
95,TrueLine Webcam HD,1697.3,3,1343.43
96,Craze USB Hub,23659.64,3,11991.56
97,Nimbus USB Hub,296.52,3,184.77
98,TrueLine USB Hub,13524.78,3,10239.91
99,"Nimbus 27"" Monitor",5602.63,3,3655.95
100,"TrueLine Laptop 15.6"" i5",8502.82,3,6272.53
101,Zentra USB Hub,21036.57,3,17288.69
102,"TrueLine Laptop 15.6"" i5",14858.54,3,10877.19
103,TrueLine Wireless Mouse,3522.13,3,2330.22
104,"Kraft Laptop 15.6"" i5",9570.73,3,5494.38
105,Vivid Laptop Bag,19066.56,3,12063.3
106,Kraft USB Hub,20897.54,3,13888.66
107,"Vivid Laptop 15.6"" i5",5721.92,3,2998.38
108,"AXOM Laptop 15.6"" i5",23747.85,3,13530.96
109,"Craze Laptop 15.6"" i5",3936.7,3,2142.26
110,Craze Wireless Mouse,23701.76,3,15708.62
111,Vivid External Hard Disk 1TB,4319.56,3,3077.84
112,Zentra Wireless Mouse,24123.31,3,12974.35
113,"Kraft Laptop 15.6"" i5",14458.55,3,11824.33
114,TrueLine USB Hub,23545.54,3,13407.19
115,"Nova 27"" Monitor",17475.25,3,10582.21
116,Craze Wireless Mouse,19598.49,3,12180.88
117,Vivid USB Hub,1863.57,3,1354.14
118,"TrueLine Laptop 15.6"" i5",20584.92,3,11052.84
119,Nimbus Laptop Bag,17726.62,3,11565.21
120,Craze External Hard Disk 1TB,20233.75,3,13928.11
121,Nimbus Iron Box,10974.03,4,8294.82
122,Vivid Ceiling Fan,21315.07,4,16855.02
123,Kraft Microwave Oven,22058.53,4,12912.01
124,Craze Iron Box,15316.74,4,9690.08
125,Nimbus Air Fryer,21296.18,4,12003.46
126,Vivid Room Heater,19976.13,4,12367.59
127,Orbit Ceiling Fan,402.26,4,334.61
128,Urbano Microwave Oven,18043.86,4,12107.47
129,Nimbus Room Heater,16200.69,4,10883.42
130,Nova Air Fryer,7461.75,4,4787.01
131,Kraft Room Heater,16649.41,4,10475.1
132,TrueLine Water Purifier,24916.29,4,17257.92
133,Nimbus Water Purifier,6882.27,4,4046.71
134,Urbano Microwave Oven,7991.37,4,6073.51
135,Urbano Vacuum Cleaner,5527.16,4,3700.27
136,Nova Ceiling Fan,20840.81,4,12581.31
137,Zentra Water Purifier,7661.35,4,5729.21
138,Kraft Vacuum Cleaner,1281.07,4,664.98
139,Zentra Ceiling Fan,16001.06,4,12216.45
140,AXOM Microwave Oven,14415.5,4,9576.06
